employee_id,previous_salary,new_salary,previous_role,new_role,previous_level,new_level,effective_date,change_type,change_reason
EMP0866,,30416,,Brand Manager,,Mid,2012-06-15,Hire,Initial appointment
EMP0866,30416,32584,Brand Manager,Brand Manager,Mid,Mid,2017-05-27,Annual Raise,Project completion bonus integration
EMP0866,32584,49176,Brand Manager,Brand Manager,Mid,Lead,2023-10-10,Promotion,Cost of living adjustment
EMP0519,,11490,,Senior Data Engineer,,Mid,2024-03-15,Hire,Initial appointment
EMP0519,11490,15968,Senior Data Engineer,Senior Data Engineer,Mid,Junior,2025-04-09,Promotion,Promoted following review
EMP0935,,15010,,Finance Manager,,Junior,2020-06-14,Hire,Initial appointment
EMP0935,15010,25202,Finance Manager,Finance Manager,Junior,Senior,2023-08-25,Promotion,Annual performance increase
EMP0117,,17733,,Data Analyst,,Junior,2014-09-28,Hire,Initial appointment
EMP0117,17733,29059,Data Analyst,Data Analyst,Junior,Senior,2022-11-07,Promotion,Market correction adjustment
EMP0308,,9069,,Supply Chain Analyst,,Mid,2024-03-08,Hire,Initial appointment
EMP0308,9069,12156,Supply Chain Analyst,Supply Chain Analyst,Mid,Junior,2024-11-29,Promotion,Project completion bonus integration
EMP0786,,12813,,DevOps Engineer,,Junior,2024-08-07,Hire,Initial appointment
EMP0786,12813,15294,DevOps Engineer,DevOps Engineer,Junior,Junior,2025-03-12,Annual Raise,Annual performance increase
EMP0786,15294,19158,DevOps Engineer,DevOps Engineer,Junior,Mid,2025-06-10,Promotion,Promoted following review
EMP0938,,10036,,Operations Analyst,,Mid,2024-06-11,Hire,Initial appointment
EMP0938,10036,10968,Operations Analyst,Operations Analyst,Mid,Mid,2025-05-10,Annual Raise,Market correction adjustment
EMP0938,10968,13509,Operations Analyst,Operations Analyst,Mid,Junior,2025-06-13,Promotion,Cost of living adjustment
EMP0009,,12521,,Compliance Analyst,,Junior,2020-01-26,Hire,Initial appointment
EMP0009,12521,21174,Compliance Analyst,Compliance Analyst,Junior,Mid,2021-09-16,Promotion,Promoted following review
EMP0453,,16624,,Finance Manager,,Junior,2020-03-17,Hire,Initial appointment
EMP0453,16624,18671,Finance Manager,Finance Manager,Junior,Junior,2024-01-05,Annual Raise,Cost of living adjustment
EMP0453,18671,28401,Finance Manager,Finance Manager,Junior,Senior,2024-03-16,Promotion,Promoted following review
EMP0761,,28013,,Operations Analyst,,Mid,2010-04-06,Hire,Initial appointment
EMP0761,28013,31007,Operations Analyst,Operations Analyst,Mid,Mid,2011-07-13,Annual Raise,Cost of living adjustment
EMP0761,31007,40960,Operations Analyst,Operations Analyst,Mid,Lead,2015-05-01,Promotion,Market correction adjustment
EMP0724,,14777,,Procurement Analyst,,Junior,2022-08-06,Hire,Initial appointment
EMP0724,14777,22911,Procurement Analyst,Procurement Analyst,Junior,Mid,2023-09-09,Promotion,Promoted following review
EMP0167,,15145,,HR Analyst,,Junior,2024-04-28,Hire,Initial appointment
EMP0167,15145,16623,HR Analyst,HR Analyst,Junior,Junior,2024-11-26,Annual Raise,Cost of living adjustment
EMP0167,16623,19113,HR Analyst,HR Analyst,Junior,Junior,2025-01-17,Annual Raise,Market correction adjustment
EMP0167,19113,23297,HR Analyst,HR Analyst,Junior,Mid,2025-04-17,Promotion,Project completion bonus integration
EMP0972,,12072,,Compliance Analyst,,Junior,2022-04-14,Hire,Initial appointment
EMP0972,12072,13679,Compliance Analyst,Compliance Analyst,Junior,Junior,2023-11-17,Annual Raise,Project completion bonus integration
EMP0972,13679,19475,Compliance Analyst,Compliance Analyst,Junior,Mid,2024-04-03,Promotion,Project completion bonus integration
EMP0342,,9646,,Data Analyst,,Mid,2024-02-03,Hire,Initial appointment
EMP0342,9646,10852,Data Analyst,Data Analyst,Mid,Mid,2025-01-29,Annual Raise,Promoted following review
EMP0342,10852,13371,Data Analyst,Data Analyst,Mid,Junior,2025-05-23,Promotion,Cost of living adjustment
EMP0460,,12371,,Financial Analyst,,Junior,2023-06-15,Hire,Initial appointment
EMP0460,12371,19521,Financial Analyst,Financial Analyst,Junior,Mid,2024-09-08,Promotion,Market correction adjustment
EMP0506,,11226,,DevOps Engineer,,Mid,2024-07-18,Hire,Initial appointment
EMP0506,11226,16857,DevOps Engineer,DevOps Engineer,Mid,Junior,2025-06-17,Promotion,Promoted following review
EMP0290,,15688,,Finance Director,,Junior,2020-04-09,Hire,Initial appointment
EMP0290,15688,18413,Finance Director,Finance Director,Junior,Junior,2021-02-27,Annual Raise,Cost of living adjustment
EMP0290,18413,19785,Finance Director,Finance Director,Junior,Junior,2023-03-20,Annual Raise,Promoted following review
EMP0290,19785,20819,Finance Director,Finance Director,Junior,Junior,2023-08-06,Annual Raise,Market correction adjustment
EMP0290,20819,27222,Finance Director,Finance Director,Junior,Senior,2024-08-02,Promotion,Cost of living adjustment
EMP0605,,18519,,IT Manager,,Junior,2013-08-17,Hire,Initial appointment
EMP0605,18519,26900,IT Manager,IT Manager,Junior,Senior,2014-02-23,Promotion,Annual performance increase
EMP0129,,8843,,Budget Analyst,,Mid,2022-02-26,Hire,Initial appointment
EMP0129,8843,9441,Budget Analyst,Budget Analyst,Mid,Mid,2023-04-26,Annual Raise,Annual performance increase
EMP0129,9441,15439,Budget Analyst,Budget Analyst,Mid,Junior,2023-08-08,Promotion,Promoted following review
EMP0498,,7218,,Sales Analyst,,Mid,2024-04-04,Hire,Initial appointment
EMP0498,7218,12707,Sales Analyst,Sales Analyst,Mid,Junior,2025-02-23,Promotion,Market correction adjustment
EMP0135,,18194,,ML Engineer,,Junior,2014-06-25,Hire,Initial appointment
EMP0135,18194,19287,ML Engineer,ML Engineer,Junior,Junior,2015-09-26,Annual Raise,Promoted following review
EMP0135,19287,20791,ML Engineer,ML Engineer,Junior,Junior,2016-12-15,Annual Raise,Retention adjustment
EMP0135,20791,22404,ML Engineer,ML Engineer,Junior,Junior,2023-04-29,Annual Raise,Annual performance increase
EMP0135,22404,31553,ML Engineer,ML Engineer,Junior,Senior,2025-01-14,Promotion,Cost of living adjustment
EMP0090,,9776,,DevOps Engineer,,Mid,2022-02-19,Hire,Initial appointment
EMP0090,9776,10711,DevOps Engineer,DevOps Engineer,Mid,Mid,2022-12-30,Annual Raise,Retention adjustment
EMP0090,10711,12504,DevOps Engineer,DevOps Engineer,Mid,Mid,2024-03-17,Annual Raise,Project completion bonus integration
EMP0090,12504,14493,DevOps Engineer,DevOps Engineer,Mid,Junior,2024-07-23,Promotion,Retention adjustment
EMP0260,,8017,,Network Engineer,,Mid,2024-01-26,Hire,Initial appointment
EMP0260,8017,13003,Network Engineer,Network Engineer,Mid,Junior,2025-06-04,Promotion,Project completion bonus integration
EMP0012,,18770,,Data Analyst,,Junior,2020-09-29,Hire,Initial appointment
EMP0012,18770,21896,Data Analyst,Data Analyst,Junior,Junior,2024-05-06,Annual Raise,Market correction adjustment
EMP0012,21896,24214,Data Analyst,Data Analyst,Junior,Junior,2024-06-27,Annual Raise,Cost of living adjustment
EMP0012,24214,31126,Data Analyst,Data Analyst,Junior,Senior,2025-02-01,Promotion,Cost of living adjustment
EMP0869,,14488,,Data Analyst,,Junior,2024-06-09,Hire,Initial appointment
EMP0869,14488,15928,Data Analyst,Data Analyst,Junior,Junior,2025-02-04,Annual Raise,Promoted following review
EMP0869,15928,16803,Data Analyst,Data Analyst,Junior,Junior,2025-02-12,Annual Raise,Retention adjustment
EMP0869,16803,19591,Data Analyst,Data Analyst,Junior,Junior,2025-03-08,Annual Raise,Market correction adjustment
EMP0869,19591,20279,Data Analyst,Data Analyst,Junior,Mid,2025-04-25,Promotion,Market correction adjustment
EMP0654,,10749,,Sustainability Analyst,,Junior,2023-03-28,Hire,Initial appointment
